Name,entityType,credit,metal,crystal,slotCount,BuildTime,MaxHullPoints,MaxShieldPoints,MaxAntiMatter,BaseArmorPoints,maxMitigation,NumWeapons,w1 WeaponClassType,w1 DamagePerBank:FRONT,w1 DamagePerBank:BACK,w1 DamagePerBank:LEFT,w1 DamagePerBank:RIGHT,w1 Range,w1 PreBuffCooldownTime,w2 WeaponClassType,w2 DamagePerBank:FRONT,w2 DamagePerBank:BACK,w2 DamagePerBank:LEFT,w2 DamagePerBank:RIGHT,w2 Range,w2 PreBuffCooldownTime,w3 WeaponClassType,w3 DamagePerBank:FRONT,w3 DamagePerBank:BACK,w3 DamagePerBank:LEFT,w3 DamagePerBank:RIGHT,w3 Range,w3 PreBuffCooldownTime,w4 WeaponClassType,w4 DamagePerBank:FRONT,w4 DamagePerBank:BACK,w4 DamagePerBank:LEFT,w4 DamagePerBank:RIGHT,w4 Range,w4 PreBuffCooldownTime
Alignment_Acclamator.entity,Frigate,350,35,75,5,40,1100,1100,72,3,0.6,3,"""AUTOCANNON""",25,0,0,0,5000,4,"""LASERTECH""",120,0,0,0,5000,4,"""PHASEMISSILE""",25,0,0,0,2400,13.5,,,,,,,
Alignment_Arquitens.entity,Frigate,180,40,0,1,25,550,550,0,3.5,0.6,1,"""AUTOCANNON""",15,0,15,15,4000,1,,,,,,,,,,,,,,,,,,,,,
Alignment_Dominator.entity,CapitalShip,1000,95,45,1,75,4900,5000,72,6,0.65,2,"""LASERTECH""",0,0,90,90,5000,4,"""ION""",0,0,150,150,5000,4.4,,,,,,,,,,,,,,
Alignment_Enforcer.entity,Frigate,300,35,20,4,45,1400,1700,0,2,0.6,3,"""AUTOCANNON""",120,0,0,0,5000,4,"""LASERTECH""",120,0,0,0,5000,4,"""ION""",150,0,0,0,5000,4.4,,,,,,,
Alignment_Gladiator.entity,Frigate,225,60,15,3,25,1400,1200,24,2,0.6,2,"""ION""",120,0,0,0,5000,4,"""LASERTECH""",100,0,0,0,5000,4,,,,,,,,,,,,,,
Alignment_Grant.entity,Frigate,0,0,0,1,1,7000,7000,120,5,0.75,3,"""LASERTECH""",0,0,150,150,5000,4,"""ION""",0,0,250,250,5000,4.4,"""LASERTECH""",0,0,65,65,5000,4,,,,,,,
Alignment_ISDI.entity,CapitalShip,1180,100,50,1,80,5000,5000,72,6,0.65,3,"""LASERTECH""",200,0,50,50,5000,4,"""ION""",300,0,50,50,5000,4.4,"""LASERTECH""",100,0,20,20,5000,4,,,,,,,
Alignment_ISDII.entity,CapitalShip,1400,105,55,1,85,5000,5200,72,6,0.65,3,"""LASERTECH""",200,0,60,60,5000,4,"""ION""",300,0,50,50,5000,4.4,"""LASERTECH""",240,0,40,40,5000,4,,,,,,,
Alignment_Lucrehulk.entity,CapitalShip,1000,100,50,1,80,7000,7000,72,6,0.65,2,"""LASERTECH""",100,0,80,80,5000,4,"""LASERTECH""",150,0,80,80,5000,4,,,,,,,,,,,,,,
Alignment_Munificent.entity,Frigate,350,55,25,3,55,1885,1885,0,2,0.6,3,"""LASERTECH""",150,0,0,0,5000,4,"""LASERTECH""",50,0,0,0,5000,4,"""ION""",80,0,0,0,5000,4,,,,,,,
Alignment_Praetor.entity,CapitalShip,4000,300,180,1,200,12700,11700,60,6,0.65,3,"""LASERTECH""",200,0,90,90,5000,4,"""ION""",300,0,90,90,5000,4.4,"""LASERTECH""",300,0,80,80,5000,4,,,,,,,
Alignment_Procursator.entity,Frigate,900,85,40,6,60,3000,3000,0,2,0.6,3,"""LASERTECH""",200,0,0,0,5000,4,"""ION""",100,0,0,0,5000,4,"""LASERTECH""",100,0,0,0,5000,4,,,,,,,
Alignment_Secutor.entity,CapitalShip,1800,125,75,1,95,6200,6200,144,6,0.65,2,"""LASERTECH""",500,0,100,100,5000,4,"""ION""",400,0,100,100,5000,4.4,,,,,,,,,,,,,,
Alignment_StarGalleon.entity,Frigate,500,55,85,2,40,1350,1350,350,3,0.6,1,"""LASERTECH""",30,0,0,0,5000,5,,,,,,,,,,,,,,,,,,,,,
Alignment_Venator.entity,Frigate,620,75,40,6,60,2605,2605,144,2,0.6,3,"""LASERTECH""",0,0,175,175,5000,4,"""AUTOCANNON""",10,0,0,0,4000,1,"""PHASEMISSILE""",0,0,30,30,2400,13.5,,,,,,,
Alignment_Vindicator.entity,Frigate,350,40,20,4,45,1600,1600,0,2,0.6,3,"""LASERTECH""",200,0,0,0,5000,4,"""LASERTECH""",96,0,0,0,5000,4,"""ION""",100,0,0,0,5000,4.4,,,,,,,
Alignment_VSDI.entity,Frigate,680,65,30,8,55,3185,3185,24,2,0.6,3,"""LASERTECH""",100,0,50,50,5000,4,"""LASERTECH""",150,0,50,50,5000,4,"""MISSILE""",150,0,50,50,5500,15,,,,,,,
EotH_Alaria.entity,Frigate,600,80,80,5,55,2500,2500,350,3,0.6,1,"""LASERTECH""",0,0,30,30,5000,5,,,,,,,,,,,,,,,,,,,,,
EotH_Ascendancy.entity,CapitalShip,1300,60,20,1,80,4430,4430,48,6,0.65,3,"""ION""",200,0,0,0,5000,4.4,"""LASERTECH""",190,0,70,70,5000,4,"""LASERTECH""",160,0,160,160,5000,4,,,,,,,
EotH_Ascent.entity,Frigate,100,10,25,1,20,1150,1250,5,0,0.6,1,"""AUTOCANNON""",10,0,0,0,4000,2,,,,,,,,,,,,,,,,,,,,,
EotH_Asdoni.entity,Frigate,200,50,0,1,25,700,700,200,2,0.6,2,"""AUTOCANNON""",0,0,30,30,4000,1,"""AUTOCANNON""",0,0,15,15,4000,1,,,,,,,,,,,,,,
EotH_Auriette.entity,Frigate,400,40,10,5,40,1900,1900,84,3,0.6,2,"""LASERTECH""",120,0,0,0,5000,2,"""LASERTECH""",84,0,0,0,5000,5,,,,,,,,,,,,,,
EotH_Budirech.entity,Frigate,620,75,50,7,55,2300,2800,0,2,0.6,3,"""LASERTECH""",0,0,60,60,5000,5,"""LASERTECH""",0,0,60,60,5000,5,"""LASERTECH""",0,0,40,40,5000,5,,,,,,,
EotH_Chaf.entity,Frigate,900,80,30,8,65,3500,3500,200,2,0.6,4,"""MISSILE""",100,0,0,0,5500,15,"""PHASEMISSILE""",24,0,0,0,5500,15,"""LASERTECH""",320,0,0,0,5000,5,"""ION""",364,0,0,0,5000,4
EotH_Consen.entity,Frigate,100,10,25,1,40,1150,1125,5,0,0.6,1,"""LASERTECH""",21,0,0,0,5000,2,,,,,,,,,,,,,,,,,,,,,
EotH_ConsenConstructor.entity,Frigate,1500,150,250,1,25,1500,0,0,3,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EotH_CT11.entity,Frigate,0,0,0,0,0,850,0,0,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EotH_FrigateResearch.entity,Frigate,600,60,30,5,45,2090,3060,24,3.5,0.6,3,"""AUTOCANNON""",0,0,20,20,4000,2,"""AUTOCANNON""",0,0,100,100,4000,2,"""LASERTECH""",0,0,40,40,4000,2,,,,,,,
EotH_Intego.entity,CapitalShip,2200,120,40,1,120,8000,8000,60,6,0.65,3,"""LASERTECH""",120,0,120,120,5000,4,"""LASERTECH""",60,0,100,100,5000,4,"""ION""",50,0,108,108,5000,4.4,,,,,,,
EotH_Kariek.entity,Frigate,240,20,0,3,35,1195,1195,12,2,0.6,3,"""LASERTECH""",0,0,60,60,5000,5,"""AUTOCANNON""",0,0,30,30,4000,1,"""LASERTECH""",0,0,42,42,5000,5,,,,,,,
EotH_Massias.entity,Frigate,600,50,100,4,50,2200,2200,36,2,0.6,2,"""LASERTECH""",280,0,0,0,5000,4,"""LASERTECH""",78,0,0,0,5000,5,,,,,,,,,,,,,,
EotH_Nuruodo.entity,Frigate,500,50,20,4,45,2100,2100,24,2,0.6,2,"""LASERTECH""",0,0,126,0,5000,4,"""LASERTECH""",0,0,60,0,5000,4,,,,,,,,,,,,,,
EotH_Phalanx.entity,CapitalShip,1900,120,40,1,110,6000,6000,60,6,0.65,3,"""MISSILE""",100,0,100,100,5500,15,"""LASERTECH""",260,0,210,210,5000,4,"""LASERTECH""",100,0,140,140,5000,4,,,,,,,
EotH_Stent.entity,Frigate,0,0,0,1,1,7000,7000,120,5,0.75,3,"""ION""",200,0,0,0,5000,4.4,"""LASERTECH""",190,0,130,130,5000,4,"""LASERTECH""",200,0,60,60,5000,4,,,,,,,
